timestamp,ID,type,carbon units,unit price,total price,project type ID,project type
,,,,,,,
1/2/2025 13:49,RKHtI4Pf,selling,188.9952,0.95,179.55,8,blue carbon
,,,,,,,
1/2/2025 13:49,cjW0JpIM,bidding,294.5364,3.16,930.74,8,
,,,,,,,
1/2/2025 13:49,X2RiAH0z,bidding,843.8437,3.98,3358.5,8,
,,,,,,,
1/2/2025 13:49,K9cQ9KTV,bidding,401.467,3.65,1465.35,8,
,,,,,,,
1/2/2025 13:49,R5KjIyUx,bidding,134.0404,3.34,447.69,8,
,,,,,,,
1/2/2025 13:49,CAWAJUft,bidding,920.5608,3.04,2798.5,8,
,,,,,,,
1/2/2025 13:49,jojfSm9Y,selling,221.7539,0.79,175.19,7,transportation
,,,,,,,
1/2/2025 13:49,P0wKVt2V,bidding,870.9766,3.22,2804.54,7,
,,,,,,,
1/2/2025 13:49,8qnl4F2d,bidding,611.3075,3.46,2115.12,7,
,,,,,,,
1/2/2025 13:49,VXJjL92h,selling,996.9228,2.65,2641.85,1,renewable energy
,,,,,,,
1/2/2025 13:49,ELMcFHPs,bidding,764.2406,3.44,2628.99,1,
,,,,,,,
1/2/2025 13:49,SFqZK5ev,selling,698.0475,0.39,272.24,4,agricultural land management
,,,,,,,
1/2/2025 13:49,o5ou57zW,bidding,721.8351,3.08,2223.25,4,
,,,,,,,
1/2/2025 13:49,mGfdO5Ld,bidding,988.1464,3.97,3922.94,4,
,,,,,,,
1/2/2025 13:49,7ZeyhvLr,bidding,411.7618,3.39,1395.87,4,
,,,,,,,
1/2/2025 13:49,spG7pRO5,bidding,353.889,3.16,1118.29,4,
,,,,,,,
1/2/2025 13:49,RXdN7JaY,bidding,166.8078,3.2,533.78,4,
,,,,,,,
1/2/2025 13:49,HmEZV7b5,bidding,572.9814,3.72,2131.49,4,
,,,,,,,
1/2/2025 13:49,CFeAbjw3,bidding,442.7984,3.87,1713.63,4,
,,,,,,,
1/2/2025 13:49,I0W1MtVu,selling,782.7489,1.28,1001.92,1,renewable energy
,,,,,,,
1/2/2025 13:49,5lyXd7tl,bidding,355.8608,3.66,1302.45,1,
,,,,,,,
1/2/2025 13:49,2TGBBjmy,bidding,230.3319,3.35,771.61,1,
,,,,,,,
1/2/2025 13:49,YyutYaZ2,bidding,596.7614,3.52,2100.6,1,
,,,,,,,
1/2/2025 13:49,RdVApqiK,bidding,386.4786,3.75,1449.29,1,
,,,,,,,
1/2/2025 13:49,9msmYWFX,bidding,816.1108,3.18,2595.23,1,
,,,,,,,
1/2/2025 13:49,cryhGOYT,selling,877.4744,1.58,1386.41,6,industrial processes
,,,,,,,
1/2/2025 13:49,UU6DXWvD,bidding,422.98,3.55,1501.58,6,
,,,,,,,
1/2/2025 13:49,kvGpHoVr,bidding,914.4402,3.44,3145.67,6,
,,,,,,,
1/2/2025 13:49,uDxl2og4,bidding,906.3901,3.52,3190.49,6,
,,,,,,,
1/2/2025 13:49,WAN7sSJ4,bidding,562.4203,3.46,1945.97,6,
,,,,,,,
1/2/2025 13:49,lF6cJ98M,bidding,680.9207,3.66,2492.17,6,
,,,,,,,
1/2/2025 13:49,vKfA9Ixt,bidding,906.2022,3.15,2854.54,6,
,,,,,,,
1/2/2025 13:49,sNOHzVe6,bidding,636.0517,3.14,1997.2,6,
,,,,,,,
1/2/2025 13:49,B825QNIT,bidding,351.9351,3.69,1298.64,6,
,,,,,,,
1/2/2025 13:49,3EVG6YAo,bidding,420.031,3.59,1507.91,6,
,,,,,,,
1/2/2025 13:49,4W1lLeBR,bidding,349.2875,3.26,1138.68,6,
2025-02-20 16:19:02,SFqZK5ev,Selling,7800,1,7800,3
2025-02-20 16:19:02,SFqZK5ev,Bidding,12900,3.2,41280.0,2
